state,p_win,run_date
Arizona,0.29869999999999985,2024-05-04
Arkansas,0.00850000000000007,2024-05-04
California,0.9694,2024-05-04
Colorado,0.6878000000000002,2024-05-04
Connecticut,0.8646000000000001,2024-05-04
Delaware,0.8328999999999999,2024-05-04
District of Columbia,0.9939,2024-05-04
Florida,0.2408999999999997,2024-05-04
Georgia,0.2763000000000002,2024-05-04
Hawaii,0.9760000000000004,2024-05-04
Idaho,0.00590000000000007,2024-05-04
Illinois,0.8388999999999999,2024-05-04
Indiana,0.03389999999999996,2024-05-04
Iowa,0.113699999999999,2024-05-04
Kansas,0.03620000000000013,2024-05-04
Kentucky,0.01040000000000002,2024-05-04
Louisiana,0.02629999999999981,2024-05-04
Maine CD-1,0.9050999999999996,2024-05-04
Maine CD-2,0.11399999999999978,2024-05-04
Maryland,0.9799,2024-05-04
Massachusetts,0.9777999999999998,2024-05-04
Michigan,0.3788000000000014,2024-05-04
Minnesota,0.5038999999999997,2024-05-04
Mississippi,0.03319999999999969,2024-05-04
Missouri,0.04010000000000041,2024-05-04
Montana,0.03079999999999991,2024-05-04
Nebraska CD-1,0.03869999999999981,2024-05-04
Nebraska CD-2,0.4558000000000002,2024-05-04
Nebraska CD-3,0.00100000000000002,2024-05-04
Nevada,0.3904000000000003,2024-05-04
New Hampshire,0.4919999999999995,2024-05-04
New Jersey,0.7995000000000001,2024-05-04
New Mexico,0.6555,2024-05-04
New York,0.9228,2024-05-04
North Carolina,0.2602999999999997,2024-05-04
North Dakota,0.00369999999999986,2024-05-04
Ohio,0.12350000000000004,2024-05-04
Oklahoma,0.00310000000000002,2024-05-04
Oregon,0.7961000000000003,2024-05-04
Pennsylvania,0.34310000000000024,2024-05-04
Rhode Island,0.8792999999999994,2024-05-04
South Carolina,0.06750000000000005,2024-05-04
South Dakota,0.00840000000000002,2024-05-04
Tennessee,0.01589999999999988,2024-05-04
Texas,0.15560000000000015,2024-05-04
Utah,0.01610000000000011,2024-05-04
Vermont,0.9838999999999998,2024-05-04
Virginia,0.6065999999999998,2024-05-04
Washington,0.8659000000000001,2024-05-04
West Virginia,0.00280000000000007,2024-05-04
Wisconsin,0.3287999999999994,2024-05-04
Wyoming,0.00200000000000009,2024-05-04
National,0.43269999999999986,2024-05-04
Nebraska,0.01070000000000004,2024-05-04
Maine,0.5288000000000002,2024-05-04
Alabama,0.00880000000000005,2024-05-05
Alaska,0.06799999999999928,2024-05-05
Arizona,0.2844000000000001,2024-05-05
Arkansas,0.00759999999999996,2024-05-05
California,0.9712,2024-05-05
Colorado,0.6809999999999997,2024-05-05
Connecticut,0.8623999999999997,2024-05-05
Delaware,0.8325000000000004,2024-05-05
District of Columbia,0.9941,2024-05-05
Florida,0.2275999999999999,2024-05-05
Georgia,0.2685000000000003,2024-05-05
Hawaii,0.9754999999999998,2024-05-05
Idaho,0.00540000000000007,2024-05-05
Illinois,0.8321999999999998,2024-05-05
Indiana,0.0316999999999998,2024-05-05
Iowa,0.10930000000000008,2024-05-05
Kansas,0.03370000000000031,2024-05-05
Kentucky,0.00930000000000017,2024-05-05
Louisiana,0.02470000000000027,2024-05-05
Maine CD-1,0.8992999999999998,2024-05-05
Maine CD-2,0.11259999999999976,2024-05-05
Maryland,0.9794,2024-05-05
Massachusetts,0.977,2024-05-05
Michigan,0.3700000000000001,2024-05-05
Minnesota,0.4939000000000001,2024-05-05
Mississippi,0.03130000000000009,2024-05-05
Missouri,0.03740000000000006,2024-05-05
Montana,0.02920000000000015,2024-05-05
Nebraska CD-1,0.03019999999999991,2024-05-05
Nebraska CD-2,0.4443000000000004,2024-05-05
Nebraska CD-3,6.999999999999951e-4,2024-05-05
Nevada,0.39139999999999986,2024-05-05
New Hampshire,0.4931999999999997,2024-05-05
New Jersey,0.7964999999999997,2024-05-05
New Mexico,0.6581000000000002,2024-05-05
New York,0.9229,2024-05-05
North Carolina,0.24990000000000007,2024-05-05
North Dakota,0.00370000000000001,2024-05-05
Ohio,0.11709999999999976,2024-05-05
Oklahoma,0.00399999999999999,2024-05-05
Oregon,0.7812999999999991,2024-05-05
Pennsylvania,0.3317999999999995,2024-05-05
Rhode Island,0.8792999999999999,2024-05-05
South Carolina,0.06130000000000044,2024-05-05
South Dakota,0.00719999999999995,2024-05-05
Tennessee,0.01289999999999991,2024-05-05
Texas,0.14250000000000004,2024-05-05
Utah,0.01369999999999996,2024-05-05
Vermont,0.9868,2024-05-05
Virginia,0.60619999999999985,2024-05-05
Washington,0.8639,2024-05-05
West Virginia,0.00179999999999998,2024-05-05
Wisconsin,0.3229999999999997,2024-05-05
Wyoming,0.00129999999999995,2024-05-05
National,0.4222000000000002,2024-05-05
Nebraska,0.00850000000000011,2024-05-05
Maine,0.5245000000000002,2024-05-05
Alabama,0.00970000000000003,2024-05-06
Alaska,0.06960000000000002,2024-05-06
Arizona,0.28619999999999934,2024-05-06
Arkansas,0.00690000000000006,2024-05-06
California,0.9726,2024-05-06
Colorado,0.6778999999999996,2024-05-06
Connecticut,0.8681000000000005,2024-05-06
Delaware,0.8304999999999995,2024-05-06
District of Columbia,0.9928,2024-05-06
Florida,0.22890000000000008,2024-05-06
Georgia,0.2716999999999998,2024-05-06
Hawaii,0.9741,2024-05-06
Idaho,0.00339999999999996,2024-05-06
Illinois,0.8308,2024-05-06
Indiana,0.03070000000000028,2024-05-06
Iowa,0.10380000000000028,2024-05-06
Kansas,0.0342,2024-05-06
Kentucky,0.0094,2024-05-06
Louisiana,0.02479999999999986,2024-05-06
Maine CD-1,0.9034,2024-05-06
Maine CD-2,0.11490000000000045,2024-05-06
Maryland,0.9776,2024-05-06
Massachusetts,0.9767000000000003,2024-05-06
Michigan,0.36500000000000016,2024-05-06
Minnesota,0.4885000000000001,2024-05-06
Mississippi,0.03180000000000013,2024-05-06
Missouri,0.03670000000000018,2024-05-06
Montana,0.02819999999999999,2024-05-06
Nebraska CD-1,0.0325999999999999,2024-05-06
Nebraska CD-2,0.43899999999999995,2024-05-06
Nebraska CD-3,0.0012,2024-05-06
Nevada,0.3812000000000002,2024-05-06
New Hampshire,0.4878,2024-05-06
New Jersey,0.7934999999999998,2024-05-06
New Mexico,0.6567999999999997,2024-05-06
New York,0.9261999999999998,2024-05-06
North Carolina,0.2568000000000004,2024-05-06
North Dakota,0.00290000000000004,2024-05-06
Ohio,0.12159999999999964,2024-05-06
Oklahoma,0.00400000000000001,2024-05-06
Oregon,0.7814999999999995,2024-05-06
Pennsylvania,0.3268000000000004,2024-05-06
Rhode Island,0.8790000000000001,2024-05-06
South Carolina,0.06939999999999948,2024-05-06
South Dakota,0.00659999999999999,2024-05-06
Tennessee,0.01230000000000003,2024-05-06
Texas,0.14179999999999984,2024-05-06
Utah,0.01530000000000007,2024-05-06
Vermont,0.9848,2024-05-06
Virginia,0.6042000000000007,2024-05-06
Washington,0.8606,2024-05-06
West Virginia,0.0021,2024-05-06
Wisconsin,0.3187000000000002,2024-05-06
Wyoming,0.00140000000000002,2024-05-06
National,0.4214000000000005,2024-05-06
Nebraska,0.00850000000000006,2024-05-06
Maine,0.5201999999999996,2024-05-06
Alabama,0.00700000000000001,2024-05-07
Alaska,0.06029999999999971,2024-05-07
Arizona,0.28630000000000017,2024-05-07
Arkansas,0.00550000000000016,2024-05-07
California,0.9835000000000004,2024-05-07
Colorado,0.6862000000000004,2024-05-07
Connecticut,0.8759999999999997,2024-05-07
Delaware,0.8409999999999996,2024-05-07
District of Columbia,0.9962,2024-05-07
Florida,0.2191999999999997,2024-05-07
Georgia,0.27529999999999955,2024-05-07
Hawaii,0.9815999999999998,2024-05-07
Idaho,0.00310000000000001,2024-05-07
Illinois,0.8544000000000008,2024-05-07
Indiana,0.02670000000000004,2024-05-07
Iowa,0.09539999999999998,2024-05-07
Kansas,0.02690000000000002,2024-05-07
Kentucky,0.00559999999999995,2024-05-07
Louisiana,0.02199999999999997,2024-05-07
Maine CD-1,0.9145,2024-05-07
Maine CD-2,0.10969999999999992,2024-05-07
Maryland,0.9866,2024-05-07
Massachusetts,0.986,2024-05-07
Michigan,0.3689000000000003,2024-05-07
Minnesota,0.4925000000000002,2024-05-07
Mississippi,0.02849999999999992,2024-05-07
Missouri,0.03179999999999999,2024-05-07
Montana,0.02450000000000009,2024-05-07
Nebraska CD-1,0.02499999999999998,2024-05-07
Nebraska CD-2,0.4499000000000003,2024-05-07
Nebraska CD-3,0.00120000000000001,2024-05-07
Nevada,0.3899999999999996,2024-05-07
New Hampshire,0.4974000000000003,2024-05-07
New Jersey,0.8122999999999997,2024-05-07
New Mexico,0.6804,2024-05-07
New York,0.9407,2024-05-07
North Carolina,0.25260000000000005,2024-05-07
North Dakota,0.00230000000000002,2024-05-07
Ohio,0.11040000000000014,2024-05-07
Oklahoma,0.00250000000000003,2024-05-07
Oregon,0.7988,2024-05-07
Pennsylvania,0.3204000000000002,2024-05-07
Rhode Island,0.8881000000000002,2024-05-07
South Carolina,0.0583999999999999,2024-05-07
South Dakota,0.00569999999999996,2024-05-07
Tennessee,0.01030000000000002,2024-05-07
Texas,0.13549999999999976,2024-05-07
Utah,0.01129999999999985,2024-05-07
Vermont,0.9893,2024-05-07
Virginia,0.6151999999999994,2024-05-07
Washington,0.8778999999999999,2024-05-07
West Virginia,0.00119999999999999,2024-05-07
Wisconsin,0.30869999999999986,2024-05-07
Wyoming,8.000000000000231e-4,2024-05-07
National,0.4286000000000001,2024-05-07
Nebraska,0.00569999999999996,2024-05-07
Maine,0.5267000000000003,2024-05-07
Alabama,0.00739999999999999,2024-05-08
Alaska,0.06809999999999973,2024-05-08
Arizona,0.28759999999999986,2024-05-08
Arkansas,0.00509999999999997,2024-05-08
California,0.9806,2024-05-08
Colorado,0.7148999999999999,2024-05-08
Connecticut,0.8792999999999997,2024-05-08
Delaware,0.8532999999999995,2024-05-08
District of Columbia,0.9967,2024-05-08
Florida,0.22190000000000076,2024-05-08
Georgia,0.2813999999999996,2024-05-08
Hawaii,0.9813,2024-05-08
Idaho,0.00360000000000014,2024-05-08
Illinois,0.8613,2024-05-08
Indiana,0.02869999999999971,2024-05-08
Iowa,0.11269999999999988,2024-05-08
Kansas,0.03089999999999978,2024-05-08
Kentucky,0.00639999999999999,2024-05-08
Louisiana,0.02349999999999988,2024-05-08
Maine CD-1,0.9286,2024-05-08
Maine CD-2,0.12729999999999927,2024-05-08
Maryland,0.9912,2024-05-08
Massachusetts,0.9885,2024-05-08
Michigan,0.3919000000000003,2024-05-08
Minnesota,0.5126000000000005,2024-05-08
Mississippi,0.03280000000000005,2024-05-08
Missouri,0.03620000000000022,2024-05-08
Montana,0.03309999999999995,2024-05-08
Nebraska CD-1,0.03239999999999995,2024-05-08
Nebraska CD-2,0.4646999999999995,2024-05-08
Nebraska CD-3,0.00109999999999994,2024-05-08
Nevada,0.3901,2024-05-08
New Hampshire,0.5350000000000003,2024-05-08
New Jersey,0.8163999999999993,2024-05-08
New Mexico,0.6774000000000003,2024-05-08
New York,0.9368999999999992,2024-05-08
North Carolina,0.2644000000000004,2024-05-08
North Dakota,0.00460000000000004,2024-05-08
Ohio,0.1211000000000002,2024-05-08
Oklahoma,0.00299999999999995,2024-05-08
Oregon,0.8178999999999996,2024-05-08
Pennsylvania,0.3419000000000002,2024-05-08
Rhode Island,0.9050999999999998,2024-05-08
South Carolina,0.06410000000000013,2024-05-08
South Dakota,0.00780000000000008,2024-05-08
Tennessee,0.01070000000000004,2024-05-08
Texas,0.1334,2024-05-08
Utah,0.01460000000000012,2024-05-08
Vermont,0.9931,2024-05-08
Virginia,0.6237000000000003,2024-05-08
Washington,0.8861,2024-05-08
West Virginia,0.00169999999999997,2024-05-08
Wisconsin,0.3992999999999998,2024-05-08
Wyoming,7.000000000000062e-4,2024-05-08
National,0.4367000000000003,2024-05-08
Nebraska,0.00840000000000003,2024-05-08
Maine,0.5682999999999995,2024-05-08
Alabama,0.0085,2024-05-09
Alaska,0.06599999999999996,2024-05-09
Arizona,0.2840000000000004,2024-05-09
Arkansas,0.00500000000000009,2024-05-09
California,0.9803000000000002,2024-05-09
Colorado,0.7093000000000003,2024-05-09
Connecticut,0.8751000000000002,2024-05-09
Delaware,0.8508999999999999,2024-05-09
District of Columbia,0.9974,2024-05-09
Florida,0.2171000000000004,2024-05-09
Georgia,0.2739999999999995,2024-05-09
Hawaii,0.9797,2024-05-09
Idaho,0.00290000000000005,2024-05-09
Illinois,0.8509000000000003,2024-05-09
Indiana,0.02789999999999978,2024-05-09
Iowa,0.1131999999999998,2024-05-09
Kansas,0.03269999999999988,2024-05-09
Kentucky,0.00699999999999999,2024-05-09
Louisiana,0.02410000000000001,2024-05-09
Maine CD-1,0.9289999999999998,2024-05-09
Maine CD-2,0.12779999999999983,2024-05-09
Maryland,0.9918,2024-05-09
Massachusetts,0.987,2024-05-09
Michigan,0.39190000000000025,2024-05-09
Minnesota,0.5124000000000003,2024-05-09
Mississippi,0.03459999999999991,2024-05-09
Missouri,0.03489999999999985,2024-05-09
Montana,0.03089999999999991,2024-05-09
Nebraska CD-1,0.03099999999999999,2024-05-09
Nebraska CD-2,0.4629999999999998,2024-05-09
Nebraska CD-3,0.00109999999999998,2024-05-09
Nevada,0.3799000000000003,2024-05-09
New Hampshire,0.5188999999999999,2024-05-09
New Jersey,0.7936,2024-05-09
New Mexico,0.6638000000000002,2024-05-09
New York,0.9347,2024-05-09
North Carolina,0.2491000000000003,2024-05-09
North Dakota,0.00189999999999998,2024-05-09
Ohio,0.1228,2024-05-09
Oklahoma,0.00180000000000001,2024-05-09
Oregon,0.8183999999999998,2024-05-09
Pennsylvania,0.34569999999999956,2024-05-09
Rhode Island,0.9017,2024-05-09
South Carolina,0.06560000000000012,2024-05-09
South Dakota,0.00669999999999988,2024-05-09
Tennessee,0.00890000000000005,2024-05-09
Texas,0.12900000000000025,2024-05-09
Utah,0.01300000000000005,2024-05-09
Vermont,0.9945,2024-05-09
Virginia,0.618199999999999,2024-05-09
Washington,0.8879999999999999,2024-05-09
West Virginia,0.00189999999999998,2024-05-09
Wisconsin,0.40120000000000017,2024-05-09
Wyoming,0.0014,2024-05-09
National,0.4408000000000001,2024-05-09
Nebraska,0.00749999999999997,2024-05-09
Maine,0.5635999999999999,2024-05-09
Alabama,0.0074,2024-05-10
Alaska,0.06890000000000021,2024-05-10
Arizona,0.29270000000000007,2024-05-10
Arkansas,0.00709999999999994,2024-05-10
California,0.9822,2024-05-10
Colorado,0.7015000000000001,2024-05-10
Connecticut,0.8799000000000003,2024-05-10
Delaware,0.8523000000000003,2024-05-10
District of Columbia,0.9958,2024-05-10
Florida,0.21520000000000025,2024-05-10
Georgia,0.28720000000000023,2024-05-10
Hawaii,0.9803000000000002,2024-05-10
Idaho,0.00359999999999995,2024-05-10
Illinois,0.8568000000000002,2024-05-10
Indiana,0.02950000000000003,2024-05-10
Iowa,0.1089999999999994,2024-05-10
Kansas,0.03530000000000001,2024-05-10
Kentucky,0.00679999999999997,2024-05-10
Louisiana,0.02240000000000019,2024-05-10
Maine CD-1,0.9272,2024-05-10
Maine CD-2,0.13099999999999987,2024-05-10
Maryland,0.9925,2024-05-10
Massachusetts,0.9844,2024-05-10
Michigan,0.38710000000000094,2024-05-10
Minnesota,0.5096,2024-05-10
Mississippi,0.03480000000000004,2024-05-10
Missouri,0.03600000000000011,2024-05-10
Montana,0.037,2024-05-10
Nebraska CD-1,0.0302999999999998,2024-05-10
Nebraska CD-2,0.4657999999999988,2024-05-10
Nebraska CD-3,0.00100000000000005,2024-05-10
Nevada,0.3845,2024-05-10
New Hampshire,0.5198,2024-05-10
New Jersey,0.8036000000000001,2024-05-10
New Mexico,0.6761999999999991,2024-05-10
New York,0.9336,2024-05-10
North Carolina,0.2601000000000001,2024-05-10
North Dakota,0.00259999999999997,2024-05-10
Ohio,0.12270000000000009,2024-05-10
Oklahoma,0.0028,2024-05-10
Oregon,0.8193999999999987,2024-05-10
Pennsylvania,0.3436000000000002,2024-05-10
Rhode Island,0.904,2024-05-10
South Carolina,0.06699999999999987,2024-05-10
South Dakota,0.00700000000000001,2024-05-10
Tennessee,0.01080000000000007,2024-05-10
Texas,0.12900000000000011,2024-05-10
Utah,0.01419999999999984,2024-05-10
Vermont,0.995,2024-05-10
Virginia,0.6273000000000011,2024-05-10
Washington,0.8803999999999996,2024-05-10
West Virginia,0.00230000000000001,2024-05-10
Wisconsin,0.4146,2024-05-10
Wyoming,0.00130000000000003,2024-05-10
National,0.4378000000000004,2024-05-10
Nebraska,0.00819999999999992,2024-05-10
Maine,0.5724999999999999,2024-05-10
Alabama,0.00669999999999996,2024-05-11
Alaska,0.06740000000000006,2024-05-11
Arizona,0.28530000000000016,2024-05-11
Arkansas,0.00449999999999999,2024-05-11
California,0.9801,2024-05-11
Colorado,0.7058000000000006,2024-05-11
Connecticut,0.8762999999999997,2024-05-11
Delaware,0.8531999999999996,2024-05-11
District of Columbia,0.9977,2024-05-11
Florida,0.20199999999999985,2024-05-11
Georgia,0.27110000000000006,2024-05-11
Hawaii,0.9806,2024-05-11
Idaho,0.00289999999999988,2024-05-11
Illinois,0.8628,2024-05-11
Indiana,0.03119999999999994,2024-05-11
Iowa,0.10840000000000018,2024-05-11
Kansas,0.03249999999999994,2024-05-11
Kentucky,0.0077000000000001,2024-05-11
Louisiana,0.02060000000000004,2024-05-11
Maine CD-1,0.9263999999999998,2024-05-11
Maine CD-2,0.12810000000000007,2024-05-11
Maryland,0.9904,2024-05-11
Massachusetts,0.9879000000000002,2024-05-11
Michigan,0.3855999999999999,2024-05-11
Minnesota,0.5158999999999999,2024-05-11
Mississippi,0.0329999999999996,2024-05-11
Missouri,0.03830000000000023,2024-05-11
Montana,0.03109999999999982,2024-05-11
Nebraska CD-1,0.03180000000000005,2024-05-11
Nebraska CD-2,0.4610999999999993,2024-05-11
Nebraska CD-3,6.000000000000199e-4,2024-05-11
Nevada,0.37639999999999985,2024-05-11
New Hampshire,0.5221999999999998,2024-05-11
New Jersey,0.8103000000000001,2024-05-11
New Mexico,0.6699999999999996,2024-05-11
New York,0.9442,2024-05-11
North Carolina,0.24720000000000025,2024-05-11
North Dakota,0.00310000000000005,2024-05-11
Ohio,0.12610000000000002,2024-05-11
Oklahoma,0.00159999999999999,2024-05-11
Oregon,0.8201,2024-05-11
Pennsylvania,0.345200000000001,2024-05-11
Rhode Island,0.9056000000000002,2024-05-11
South Carolina,0.06320000000000035,2024-05-11
South Dakota,0.00640000000000018,2024-05-11
Tennessee,0.01009999999999995,2024-05-11
Texas,0.12649999999999997,2024-05-11
Utah,0.01380000000000012,2024-05-11
Vermont,0.9929,2024-05-11
Virginia,0.6263999999999997,2024-05-11
Washington,0.8860000000000001,2024-05-11
West Virginia,0.00170000000000001,2024-05-11
Wisconsin,0.403,2024-05-11
Wyoming,4.00000000000003e-4,2024-05-11
National,0.4317999999999989,2024-05-11
Nebraska,0.00669999999999985,2024-05-11
Maine,0.5657000000000002,2024-05-11
Alabama,0.00690000000000004,2024-05-12
Alaska,0.0672000000000001,2024-05-12
Arizona,0.28500000000000075,2024-05-12
Arkansas,0.00540000000000013,2024-05-12
California,0.9825,2024-05-12
Colorado,0.7131999999999998,2024-05-12
Connecticut,0.8778999999999998,2024-05-12
Delaware,0.8571000000000005,2024-05-12
District of Columbia,0.9982000000000002,2024-05-12
Florida,0.1963999999999997,2024-05-12
Georgia,0.2517000000000003,2024-05-12
Hawaii,0.9818,2024-05-12
Idaho,0.00310000000000003,2024-05-12
Illinois,0.8591000000000002,2024-05-12
Indiana,0.02820000000000051,2024-05-12
Iowa,0.11170000000000016,2024-05-12
Kansas,0.03150000000000026,2024-05-12
Kentucky,0.00740000000000004,2024-05-12
Louisiana,0.01950000000000002,2024-05-12
Maine CD-1,0.9284,2024-05-12
Maine CD-2,0.12179999999999974,2024-05-12
Maryland,0.9914999999999998,2024-05-12
Massachusetts,0.9886,2024-05-12
Michigan,0.3875000000000003,2024-05-12
Minnesota,0.5158999999999998,2024-05-12
Mississippi,0.02499999999999985,2024-05-12
Missouri,0.03590000000000015,2024-05-12
Montana,0.03469999999999974,2024-05-12
Nebraska CD-1,0.03269999999999991,2024-05-12
Nebraska CD-2,0.4675999999999996,2024-05-12
Nebraska CD-3,5.000000000000335e-4,2024-05-12
Nevada,0.37670000000000026,2024-05-12
New Hampshire,0.5236,2024-05-12
New Jersey,0.8060999999999996,2024-05-12
New Mexico,0.6776000000000002,2024-05-12
New York,0.9464,2024-05-12
North Carolina,0.24410000000000007,2024-05-12
North Dakota,0.00259999999999995,2024-05-12
