pollster,estimate,.lower,.upper,.width,.point,.interval
Morning Consult,0.02718255,0.019821995000000002,0.034539572000000004,0.66,median,qi
Muhlenberg College Institute of Public Opinion,-0.0014053149999999999,-0.025805697000000002,0.022899465,0.66,median,qi
National Public Affairs,-0.007977505,-0.031587959,0.015539151000000001,0.66,median,qi
Noble Predictive Insights,-0.010021599999999999,-0.028122770000000002,0.0073647718,0.66,median,qi
North Star Opinion Research,-0.00481706,-0.024704550999999998,0.015488857000000002,0.66,median,qi
OnMessage Inc.,-0.001137935,-0.024549123,0.02203918,0.66,median,qi
Outward Intelligence,0.026982850000000003,0.011573682000000002,0.042702221,0.66,median,qi
Pan Atlantic Research,-0.007783605,-0.031425446999999995,0.016048206,0.66,median,qi
Patriot Polling,-0.017308,-0.035349811,-3.601856199999991e-4,0.66,median,qi
Pew Research Center,-0.03469835,-0.048270329,-0.021198583,0.66,median,qi
Praecones Analytica,-0.009699585,-0.032626751,0.013595825000000002,0.66,median,qi
Prime Group,0.0209909,8.703018699999999e-4,0.041697417,0.66,median,qi
Public Opinion Strategies,6.998205e-4,-0.021107082000000003,0.022069348000000003,0.66,median,qi
Public Policy Institute of California,0.04880085,0.025959626,0.073871726,0.66,median,qi
Public Policy Polling,0.007929955,-0.0071009626,0.023446123,0.66,median,qi
PureSpectrum,-0.0423347,-0.06177587300000001,-0.023572862,0.66,median,qi
Quantus Insights,-0.0131244,-0.033266596,0.006040558200000001,0.66,median,qi
Quinnipiac University,0.00540147,-0.0077645271999999994,0.018956038,0.66,median,qi
Redfield & Wilton Strategies,-0.0044616,-0.012824017,0.0038169449000000004,0.66,median,qi
Remington Research Group,-0.007101865000000001,-0.024517612,0.010478344,0.66,median,qi
Repass,-0.0108438,-0.035137019,0.013598946,0.66,median,qi
Research & Polling Inc.,0.0055953800000000005,-0.018658340000000002,0.029291756999999998,0.66,median,qi
Research Co.,0.002496745,-0.020344925,0.026670793,0.66,median,qi
RMG Research,-0.0204792,-0.030190042,-0.011032323,0.66,median,qi
Roanoke College Institute for Policy and Opinion Research,-0.013955100000000002,-0.037307783000000004,0.008443427199999999,0.66,median,qi
Saint Anselm College Survey Center,1.357625e-4,-0.019643223,0.019621536999999998,0.66,median,qi
Selzer & Co.,-0.0122659,-0.036314021,0.011465836,0.66,median,qi
Siena College,-0.0149724,-0.03727462300000001,0.0067674766,0.66,median,qi
Slingshot Strategies,0.01635475,-0.0074904756,0.041120805,0.66,median,qi
SoCal Research,-0.008435745,-0.023811547000000002,0.0067983576,0.66,median,qi
SoonerPoll.com,0.003512345,-0.022836244000000002,0.02947413,0.66,median,qi
Split Ticket/Data for Progress,0.0278361,0.0074657495,0.048513100999999996,0.66,median,qi
Spry Strategies,0.006848145,-0.012670500000000001,0.027440881,0.66,median,qi
SSRS,-7.63628e-4,-0.024530804,0.022287192999999997,0.66,median,qi
Strategies 360,0.008389935,-0.014976551000000003,0.032022144,0.66,median,qi
Suffolk University,-0.00430568,-0.023410541000000003,0.014445868,0.66,median,qi
Survey Center on American Life,-4.5707e-4,-0.020060793,0.019119286000000003,0.66,median,qi
SurveyMonkey,-0.01171745,-0.025105636,0.0013461408,0.66,median,qi
SurveyUSA,0.01808975,0.0026163638,0.033438,0.66,median,qi
Susquehanna Polling & Research Inc.,0.0106142,-0.011266421,0.032637126,0.66,median,qi
Targoz Market Research,7.92916e-4,-0.02129622,0.023013437,0.66,median,qi
Tarrance Group,0.0037264,-0.020857952000000003,0.028528214,0.66,median,qi
Texas Hispanic Policy Foundation,0.0012490650000000002,-0.021967063000000002,0.024899999,0.66,median,qi
The Bullfinch Group,0.02625485,0.009421081999999999,0.043627768000000004,0.66,median,qi
The New York Times/Siena College,-0.012416400000000001,-0.024754452,-6.6181367e-4,0.66,median,qi
The Tyson Group,-0.022682599999999997,-0.041676701999999996,-0.0043347305,0.66,median,qi
The Washington Post/George Mason University Schar School of Policy and Government,0.003270215,-0.020841195,0.027264754000000002,0.66,median,qi
The Washington Post/University of Maryland Center for Democracy and Civic Engagement,0.009132115,-0.01526847,0.033525439000000004,0.66,median,qi
TIPP Insights,0.0021146050000000003,-0.012158276,0.016539772,0.66,median,qi
Torchlight Strategies,0.01088,-0.012255404000000001,0.034361841,0.66,median,qi
University of California Berkeley Institute of Governmental Studies,0.01135895,-0.010141155,0.033111625000000006,0.66,median,qi
University of Delaware Center for Political Communication,0.0040769299999999994,-0.021320242,0.029521657,0.66,median,qi
University of Georgia School of Public and International Affairs,0.007027035,-0.01287575,0.027367937999999998,0.66,median,qi
University of Houston Hobby School of Public Affairs,0.014927949999999999,-0.005970228600000001,0.0367468,0.66,median,qi
University of Massachusetts Department of Political Science/YouGov,0.0047081350000000004,-0.018357661,0.028378874000000002,0.66,median,qi
University of Massachusetts Lowell Center for Public Opinion,0.0128982,-0.008690545,0.035464554999999995,0.66,median,qi
University of New Hampshire Survey Center,0.0348734,0.016555179,0.053423497,0.66,median,qi
University of North Florida Public Opinion Research Lab,-0.00220488,-0.026407862999999997,0.022150506000000004,0.66,median,qi
University of Texas at Tyler Center for Opinion Research,0.01674445,-0.0077641125000000024,0.041792142000000004,0.66,median,qi
USC Dornsife/CSU Long Beach/Cal Poly Pomona,-0.01056575,-0.03394114,0.012527017000000001,0.66,median,qi
Victory Insights,-0.002132745,-0.025243674,0.021868782000000003,0.66,median,qi
Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,0.015914699999999997,-0.0070203238000000005,0.038486885,0.66,median,qi
Wick,-0.003693835,-0.026094168,0.018700717999999998,0.66,median,qi
Winthrop University Center for Public Opinion & Policy Research,0.0019120349999999999,-0.024265898,0.027693392,0.66,median,qi
WPA Intelligence,-0.01164145,-0.036659187999999995,0.012517553,0.66,median,qi
YouGov,-0.004521095,-0.012681753,0.0036377040000000003,0.66,median,qi
YouGov/Johns Hopkins University SNF Agora Institute,0.00264173,-0.020066799,0.025604046,0.66,median,qi
Z to A Research,-0.010254300000000001,-0.034256246,0.013116558,0.66,median,qi
1892 Polling,-0.007309185,-0.059028267499999995,0.04305177749999999,0.95,median,qi
1983 Labs,-0.017754,-0.0664943575,0.02877878499999998,0.95,median,qi
3W Insights,-0.015466549999999999,-0.05690732999999998,0.024235849999999996,0.95,median,qi
ABC News/The Washington Post,-0.00723332,-0.054035207499999995,0.039502197499999975,0.95,median,qi
Alaska Survey Research,0.00323245,-0.04831987249999999,0.054936532499999996,0.95,median,qi
American Pulse Research & Polling,7.75059e-4,-0.04659226249999999,0.048534847499999985,0.95,median,qi
Angus Reid Global,0.01002905,-0.029372619999999988,0.05056243249999993,0.95,median,qi
ARW Strategies,-0.00230554,-0.0538488875,0.04841033749999998,0.95,median,qi
AtlasIntel,-0.03716545,-0.0693650875,-0.00567787825000001,0.95,median,qi
Beacon Research/Shaw & Co. Research,9.583745000000001e-4,-0.025119719999999988,0.027659217499999996,0.95,median,qi
Bendixen & Amandi International,0.01266535,-0.031977817499999985,0.0602221825,0.95,median,qi
Benenson Strategy Group/GS Strategy Group,0.006440975,-0.027597194999999998,0.04054300249999998,0.95,median,qi
Big Data Poll,-0.02540385,-0.06433998999999997,0.012480844999999973,0.95,median,qi
Big Village,0.02122135,-0.007009704249999998,0.05017934,0.95,median,qi
BK Strategies,0.0012947000000000002,-0.04806233,0.05237862,0.95,median,qi
Bowling Green State University/YouGov,0.00415404,-0.045729619999999985,0.054416645,0.95,median,qi
Capitol Weekly,-0.009354075,-0.04883003749999999,0.029318307499999995,0.95,median,qi
Change Research,-0.00588179,-0.03701328999999999,0.024831017499999997,0.95,median,qi
Cherry Communications,-0.00535522,-0.05458865749999999,0.04230170249999998,0.95,median,qi
Christopher Newport University Wason Center for Civic Leadership,0.010372,-0.03845489499999999,0.06187901749999999,0.95,median,qi
Civiqs,0.013445950000000002,-0.02709715249999999,0.05431649249999997,0.95,median,qi
Clarity Campaign Labs,0.01199925,-0.026030909999999984,0.052356369999999985,0.95,median,qi
CNN,-0.003261895,-0.0362635375,0.02938523249999998,0.95,median,qi
co/efficient,-0.02888215,-0.07213600499999999,0.011295754999999996,0.95,median,qi
CWS Research,-0.004264745,-0.05640310999999999,0.045921042499999995,0.95,median,qi
Cygnal,-0.01259925,-0.04410087499999999,0.017386889999999988,0.95,median,qi
Data for Progress,0.0047237649999999996,-0.026998527499999998,0.03600252499999999,0.95,median,qi
Data Orbital,0.001527115,-0.049332232499999996,0.05422239,0.95,median,qi
DHM Research,-0.01321085,-0.06580024749999999,0.0354942325,0.95,median,qi
East Carolina University Center for Survey Research,-0.004035459999999999,-0.0463255475,0.03885170999999995,0.95,median,qi
Echelon Insights,0.0129184,-0.019722144999999993,0.045966272499999995,0.95,median,qi
Echelon Insights/GBAO,0.00171724,-0.045091432499999994,0.04839615749999998,0.95,median,qi
Elon University,0.00226687,-0.048820407499999996,0.054151702499999975,0.95,median,qi
Elway Research,0.00244056,-0.04855845249999998,0.05314334999999996,0.95,median,qi
Emerson College,-0.008413239999999999,-0.0272742625,0.01214488499999999,0.95,median,qi
EPIC-MRA,-0.0143346,-0.06444791749999998,0.0314630325,0.95,median,qi
Fabrizio Lee & Associates/Impact Research,-0.00153724,-0.03933990499999998,0.03599978749999999,0.95,median,qi
Fabrizio Ward/David Binder Research,0.00252899,-0.048317127499999994,0.05421827999999997,0.95,median,qi
"Fabrizio, Lee & Associates",-0.00398957,-0.049022802500000004,0.040366089999999986,0.95,median,qi
"Fabrizio, Lee & Associates/GBAO",-0.02600825,-0.0707570925,0.014873124999999996,0.95,median,qi
Fairleigh Dickinson University,0.009680165000000001,-0.040654242499999986,0.062331442499999994,0.95,median,qi
Florida Atlantic University PolCom Lab/Mainstreet Research,0.00724703,-0.02392140999999999,0.038352642499999985,0.95,median,qi
Focaldata,0.010754050000000001,-0.021110514999999996,0.04140768499999999,0.95,median,qi
Franklin & Marshall College Center for Opinion Research,0.0154382,-0.030488255000000002,0.06412355249999997,0.95,median,qi
Glengariff Group,-0.002711415,-0.04937021249999999,0.044806787499999993,0.95,median,qi
Global Strategy Group,0.0207499,-0.027252779999999976,0.07276065249999998,0.95,median,qi
Global Strategy Group/GBAO (Navigator Research),3.900275e-4,-0.040431499999999995,0.04189538249999997,0.95,median,qi
Gonzales Research & Marketing Strategies Inc.,-0.0164116,-0.0710550775,0.03433473999999999,0.95,median,qi
GQR,0.0062593200000000005,-0.04254576249999999,0.05659630999999996,0.95,median,qi
Harris Insights & Analytics,-0.052775749999999996,-0.077341175,-0.02904904,0.95,median,qi
Hart Research Associates/Public Opinion Strategies,-0.00441856,-0.046509245,0.0370762175,0.95,median,qi
Hendrix College,0.003001125,-0.049921264999999986,0.05796545999999999,0.95,median,qi
High Point University Survey Research Center,0.006749045,-0.04076639499999999,0.056306374999999985,0.95,median,qi
HighGround Inc.,0.0121449,-0.03760385999999998,0.06344270749999997,0.95,median,qi
Hoffman Research Group,-0.005674584999999999,-0.06042092999999999,0.046446575,0.95,median,qi
Innovative Research Group,-0.0029304300000000004,-0.050680162499999994,0.04408295,0.95,median,qi
InsiderAdvantage,-0.0090702,-0.036647012500000006,0.018991609999999992,0.95,median,qi
Ipsos,0.02713685,0.0023006777500000097,0.051790300000000004,0.95,median,qi
Iron Light,0.009234200000000001,-0.039248857500000005,0.0592037025,0.95,median,qi
J.L. Partners,-0.0245493,-0.06443834250000001,0.014240334999999988,0.95,median,qi
KAConsulting,8.97506e-4,-0.047428694999999986,0.04880101499999999,0.95,median,qi
Kaplan Strategies,0.01765345,-0.029882097499999996,0.068807925,0.95,median,qi
Keating Research,9.39844e-4,-0.0508674,0.05192846999999998,0.95,median,qi
KFF,-0.002605005,-0.04940724999999999,0.04336243249999996,0.95,median,qi
Lake Research Partners,0.01627015,-0.0313861175,0.06685113499999998,0.95,median,qi
Landmark Communications,0.003146865,-0.046085944999999975,0.05544791749999999,0.95,median,qi
Leger,0.008983095,-0.028253189999999994,0.04632729749999998,0.95,median,qi
Lord Ashcroft Polls,0.0721329,0.04039873,0.10578814999999998,0.95,median,qi
Manhattan Institute,0.00335778,-0.0358093825,0.04231018499999999,0.95,median,qi
Marist College,0.00676247,-0.0202647425,0.03357535499999999,0.95,median,qi
Marketing Resource Group (MRG),-0.0027977749999999997,-0.05480834999999999,0.04993464749999999,0.95,median,qi
Marquette University Law School,0.01139915,-0.029506662499999996,0.05314558999999999,0.95,median,qi
Mason-Dixon Polling & Strategy,0.0067543099999999995,-0.04035810749999998,0.05646308,0.95,median,qi
MassINC Polling Group,0.009851735,-0.033901442500000004,0.05495402749999999,0.95,median,qi
McLaughlin & Associates,-0.023838900000000003,-0.05389515999999999,0.005493683749999983,0.95,median,qi
"Meredith College Department of History, Political Science, and International Studies",0.00137525,-0.04906805,0.05235435499999999,0.95,median,qi
Mitchell Research & Communications,-0.006655764999999999,-0.052882285,0.037723179999999995,0.95,median,qi
Moore Information Group,2.835455e-4,-0.0507721375,0.05183657249999999,0.95,median,qi
Morning Consult,0.02718255,0.01125916,0.042321237500000004,0.95,median,qi
Muhlenberg College Institute of Public Opinion,-0.0014053149999999999,-0.0520921925,0.0506162325,0.95,median,qi
National Public Affairs,-0.007977505,-0.057252845,0.04049512499999999,0.95,median,qi
Noble Predictive Insights,-0.010021599999999999,-0.04696681249999999,0.02608886249999999,0.95,median,qi
North Star Opinion Research,-0.00481706,-0.047003739999999995,0.03660252499999998,0.95,median,qi
OnMessage Inc.,-0.001137935,-0.05184935499999997,0.048504157499999985,0.95,median,qi
Outward Intelligence,0.026982850000000003,-0.003808061499999999,0.058582812499999984,0.95,median,qi
Pan Atlantic Research,-0.007783605,-0.058443095,0.04224454749999999,0.95,median,qi
Patriot Polling,-0.017308,-0.05410729499999999,0.017602522499999985,0.95,median,qi
Pew Research Center,-0.03469835,-0.06270594499999999,-0.006997278250000001,0.95,median,qi
Praecones Analytica,-0.009699585,-0.05781939,0.03715375499999998,0.95,median,qi
Prime Group,0.0209909,-0.02073118249999998,0.064758337499999985,0.95,median,qi
Public Opinion Strategies,6.998205e-4,-0.043174267499999974,0.04422719249999996,0.95,median,qi
Public Policy Institute of California,0.04880085,0.003887975750000005,0.10230829999999999,0.95,median,qi
Public Policy Polling,0.007929955,-0.023459052499999997,0.0390188475,0.95,median,qi
PureSpectrum,-0.0423347,-0.082688635,-0.004751257000000009,0.95,median,qi
Quantus Insights,-0.0131244,-0.054955257499999986,0.026150429999999985,0.95,median,qi
Quinnipiac University,0.00540147,-0.021414705,0.03352912999999999,0.95,median,qi
Redfield & Wilton Strategies,-0.0044616,-0.0218022325,0.0128599875,0.95,median,qi
Remington Research Group,-0.007101865000000001,-0.04400169749999999,0.028897794999999993,0.95,median,qi
Repass,-0.0108438,-0.06378513749999999,0.03907276999999998,0.95,median,qi
Research & Polling Inc.,0.0055953800000000005,-0.04536547249999997,0.055787887499999994,0.95,median,qi
Research Co.,0.002496745,-0.04537937999999999,0.051425189999999954,0.95,median,qi
RMG Research,-0.0204792,-0.040333562499999996,-9.843777000000044e-4,0.95,median,qi
Roanoke College Institute for Policy and Opinion Research,-0.013955100000000002,-0.06461541,0.03333317749999999,0.95,median,qi
Saint Anselm College Survey Center,1.357625e-4,-0.0403651025,0.041284764999999994,0.95,median,qi
Selzer & Co.,-0.0122659,-0.0627846025,0.03798986499999998,0.95,median,qi
Siena College,-0.0149724,-0.06201650499999999,0.02896986,0.95,median,qi
Slingshot Strategies,0.01635475,-0.03326905999999999,0.06827641749999998,0.95,median,qi
SoCal Research,-0.008435745,-0.039790014999999984,0.02339117,0.95,median,qi
SoonerPoll.com,0.003512345,-0.05112590249999999,0.05913923,0.95,median,qi
Split Ticket/Data for Progress,0.0278361,-0.014081932499999996,0.07114235,0.95,median,qi
Spry Strategies,0.006848145,-0.0336914625,0.04921295999999998,0.95,median,qi
SSRS,-7.63628e-4,-0.05096840749999999,0.0470830925,0.95,median,qi
Strategies 360,0.008389935,-0.04074793249999999,0.05946368749999999,0.95,median,qi
Suffolk University,-0.00430568,-0.043136169999999995,0.034133872499999975,0.95,median,qi
Survey Center on American Life,-4.5707e-4,-0.04142326249999999,0.03917866749999999,0.95,median,qi
SurveyMonkey,-0.01171745,-0.03955857249999999,0.015934577499999995,0.95,median,qi
SurveyUSA,0.01808975,-0.013141754999999986,0.04958269249999997,0.95,median,qi
Susquehanna Polling & Research Inc.,0.0106142,-0.033721425,0.057022574999999985,0.95,median,qi
Targoz Market Research,7.92916e-4,-0.044788037499999996,0.04631243499999999,0.95,median,qi
Tarrance Group,0.0037264,-0.047830622499999996,0.0572636675,0.95,median,qi
Texas Hispanic Policy Foundation,0.0012490650000000002,-0.04719610499999997,0.050241834999999985,0.95,median,qi
The Bullfinch Group,0.02625485,-0.008858979249999998,0.06288689749999993,0.95,median,qi
The New York Times/Siena College,-0.012416400000000001,-0.03754605999999999,0.01239448749999999,0.95,median,qi
The Tyson Group,-0.022682599999999997,-0.062874015,0.01522488,0.95,median,qi
The Washington Post/George Mason University Schar School of Policy and Government,0.003270215,-0.046629217499999986,0.05450095999999997,0.95,median,qi
The Washington Post/University of Maryland Center for Democracy and Civic Engagement,0.009132115,-0.04033212249999998,0.061078169999999994,0.95,median,qi
TIPP Insights,0.0021146050000000003,-0.027635434999999996,0.03206306999999999,0.95,median,qi
Torchlight Strategies,0.01088,-0.0371083925,0.05983581999999998,0.95,median,qi
University of California Berkeley Institute of Governmental Studies,0.01135895,-0.03338533249999998,0.05791235749999997,0.95,median,qi
University of Delaware Center for Political Communication,0.0040769299999999994,-0.04920123249999996,0.057215704999999985,0.95,median,qi
University of Georgia School of Public and International Affairs,0.007027035,-0.0343026575,0.04985006749999999,0.95,median,qi
University of Houston Hobby School of Public Affairs,0.014927949999999999,-0.02907479249999999,0.0607195775,0.95,median,qi
University of Massachusetts Department of Political Science/YouGov,0.0047081350000000004,-0.041981984999999986,0.05314370499999999,0.95,median,qi
University of Massachusetts Lowell Center for Public Opinion,0.0128982,-0.032483615,0.06014204749999998,0.95,median,qi
University of New Hampshire Survey Center,0.0348734,-0.001625555499999998,0.07463862749999998,0.95,median,qi
University of North Florida Public Opinion Research Lab,-0.00220488,-0.052072284999999996,0.0469305525,0.95,median,qi
University of Texas at Tyler Center for Opinion Research,0.01674445,-0.03371553499999999,0.06985656499999997,0.95,median,qi
USC Dornsife/CSU Long Beach/Cal Poly Pomona,-0.01056575,-0.06057662249999998,0.038006557499999934,0.95,median,qi
Victory Insights,-0.002132745,-0.0511134,0.04718855749999999,0.95,median,qi
Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,0.015914699999999997,-0.030144454999999997,0.06454101749999998,0.95,median,qi
Wick,-0.003693835,-0.05234293499999997,0.04222423999999999,0.95,median,qi
Winthrop University Center for Public Opinion & Policy Research,0.0019120349999999999,-0.05323063249999996,0.058219514999999986,0.95,median,qi
WPA Intelligence,-0.01164145,-0.06438410250000001,0.03870640999999997,0.95,median,qi
YouGov,-0.004521095,-0.021856499999999994,0.012390934999999992,0.95,median,qi
YouGov/Johns Hopkins University SNF Agora Institute,0.00264173,-0.04373460499999999,0.0493594275,0.95,median,qi
Z to A Research,-0.010254300000000001,-0.060749705,0.0374113325,0.95,median,qi
