mode,estimate,.lower,.upper,.width,.point,.interval
Live Phone/Probability Panel,-1.14523e-4,-0.016537554999999978,0.014458267499999997,0.95,median,qi
Live Phone/Text-to-Web,5.163895000000001e-4,-0.009429433249999996,0.015182837499999996,0.95,median,qi
Live Phone/Text-to-Web/Email,9.550840000000001e-5,-0.01461004,0.016728142499999977,0.95,median,qi
Live Phone/Text-to-Web/Email/Mail-to-Web,1.096855e-4,-0.013270444999999983,0.0164483425,0.95,median,qi
Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,1.494685e-4,-0.014236522499999993,0.016657884999999997,0.95,median,qi
Live Phone/Text-to-Web/Online Ad,-5.4476e-4,-0.020870384999999998,0.010332792499999997,0.95,median,qi
Live Phone/Text/Online Panel,1.0768750000000001e-5,-0.0152934575,0.015794925,0.95,median,qi
Mail-to-Web/Mail-to-Phone,2.477445e-4,-0.01298507,0.018898462499999998,0.95,median,qi
Online Ad,-3.482785e-4,-0.01605197999999999,0.0116244475,0.95,median,qi
Online Panel,0.003279105,-0.003075584749999999,0.01752709,0.95,median,qi
Online Panel/Online Ad,2.09151e-4,-0.013199007499999992,0.017898012499999994,0.95,median,qi
Online Panel/Probability Panel,0.00109286,-0.009272962749999997,0.02414568999999998,0.95,median,qi
Online Panel/Text-to-Web,2.6675799999999997e-4,-0.010251557499999987,0.013854554999999996,0.95,median,qi
Probability Panel,0.001576255,-0.006521439749999999,0.020231485,0.95,median,qi
Text,-5.810545000000001e-4,-0.018786102499999995,0.010784842499999985,0.95,median,qi
Text-to-Web,-5.89941e-4,-0.019317249999999998,0.010677532499999998,0.95,median,qi
Text-to-Web/Email,1.01753e-4,-0.014438014999999988,0.016652397499999978,0.95,median,qi
Text-to-Web/Online Ad,1.52132e-4,-0.012544357499999999,0.016672645,0.95,median,qi
Unknown,0.00116956,-0.0058600172499999985,0.014868367499999995,0.95,median,qi
